Timestamp,FromAccount,ToAccount,Amount Received,Receiving Currency,Amount Paid,Payment Currency,suspected_money_laundering_involvement
01-09-2022 0.22,800AC8E30,800AC8E30,4295104.54,US Dollar,4295104.54,US Dollar,
01-09-2022 0.09,800AC9010,800AC9010,3203.2,US Dollar,3203.2,US Dollar,
01-09-2022 0.05,800ACA9C0,800ACA9C0,192154.42,US Dollar,192154.42,US Dollar,
01-09-2022 0.04,800AC9010,801008340,152631,US Dollar,152631,US Dollar,
01-09-2022 0.15,800AC8E30,801008520,5069.19,US Dollar,5069.19,US Dollar,
01-09-2022 0.29,80005D5C0,800AC8E30,29382,US Dollar,29382,US Dollar,
01-09-2022 0.28,800AC8E80,800AC8E80,7.64,US Dollar,7.64,US Dollar,
01-09-2022 0.07,800AC9400,814233CC0,16.03,US Dollar,16.03,US Dollar,
01-09-2022 0.02,800AC9DD0,8121CF4B0,25.34,US Dollar,25.34,US Dollar,
01-09-2022 0.02,800AC9E20,814233CC0,146.97,US Dollar,146.97,US Dollar,
01-09-2022 0.08,801008340,8082250C0,16.9,US Dollar,16.9,US Dollar,
01-09-2022 0.10,801008480,8065002B0,87.71,US Dollar,87.71,US Dollar,
01-09-2022 0.16,801008520,80974B620,17.57,US Dollar,17.57,US Dollar,
01-09-2022 0.04,8010098B0,8010098B0,19605.49,US Dollar,19605.49,US Dollar,
01-09-2022 0.14,801009860,80100A2C0,424245,US Dollar,424245,US Dollar,
01-09-2022 0.29,801009860,80100D180,2995,US Dollar,2995,US Dollar,
01-09-2022 0.11,801009860,80100DB80,527190,US Dollar,527190,US Dollar,
01-09-2022 0.06,8012261B0,8012261B0,15018.93,US Dollar,15018.93,US Dollar,
01-09-2022 0.17,801009860,801009860,17.29,US Dollar,17.29,US Dollar,
01-09-2022 0.22,80100A2C0,80805AE20,6.88,US Dollar,6.88,US Dollar,
01-09-2022 0.22,80100D180,803177AF0,406.38,US Dollar,406.38,US Dollar,
01-09-2022 0.01,80100DB30,80805A830,9.57,US Dollar,9.57,US Dollar,
01-09-2022 0.08,80100DB80,80A059840,42.18,US Dollar,42.18,US Dollar,
01-09-2022 0.13,8012275D0,8012275D0,78061.55,US Dollar,78061.55,US Dollar,
01-09-2022 0.11,8012275D0,801227620,8468,US Dollar,8468,US Dollar,
01-09-2022 0.12,8012275D0,80141ED50,13818883,US Dollar,13818883,US Dollar,
01-09-2022 0.11,8012275D0,8004169F0,9814809.87,US Dollar,9814809.87,US Dollar,
01-09-2022 0.01,8012275D0,800416A40,2782,US Dollar,2782,US Dollar,
01-09-2022 0.16,8012275D0,8012275D0,4.62,US Dollar,4.62,US Dollar,
01-09-2022 0.21,801227620,802F2FD40,44.54,US Dollar,44.54,US Dollar,
01-09-2022 0.28,80141ED50,805DEB4F0,77.15,US Dollar,77.15,US Dollar,
01-09-2022 0.19,8004169F0,80A0DDC70,6.28,US Dollar,6.28,US Dollar,
01-09-2022 0.05,800416A40,8051B9F40,130.1,US Dollar,130.1,US Dollar,
01-09-2022 0.27,80152BF60,80152BF60,11.77,US Dollar,11.77,US Dollar,
01-09-2022 0.25,80152E780,81173FE50,5.87,US Dollar,5.87,US Dollar,
01-09-2022 0.14,8016B82E0,8016B82E0,756221.89,US Dollar,756221.89,US Dollar,
01-09-2022 0.11,8016BA970,8016BA970,24068.17,US Dollar,24068.17,US Dollar,
01-09-2022 0.18,8016BC320,8016BBF40,106953,US Dollar,106953,US Dollar,
01-09-2022 0.06,8016BA470,8016BBF90,25397,US Dollar,25397,US Dollar,
01-09-2022 0.26,8016BC320,8016BC320,1282.15,US Dollar,1282.15,US Dollar,
01-09-2022 0.23,8016BC820,8016BC820,489.99,US Dollar,489.99,US Dollar,
01-09-2022 0.18,8016BBEA0,8016BBEA0,11.68,US Dollar,11.68,US Dollar,
01-09-2022 0.17,8016BBF40,80DF7DCE0,149.35,US Dollar,149.35,US Dollar,
01-09-2022 0.16,8016BBF90,8017A8630,97.86,US Dollar,97.86,US Dollar,
01-09-2022 0.29,8016BC370,8016BC370,17.38,US Dollar,17.38,US Dollar,
01-09-2022 0.24,8016CAB70,80E2754A0,51.44,US Dollar,51.44,US Dollar,
01-09-2022 0.08,8018754D0,80D120A40,46.3,US Dollar,46.3,US Dollar,
01-09-2022 0.20,801342560,801342560,6.11,US Dollar,6.11,US Dollar,
01-09-2022 0.26,8018859B0,8018859B0,3231020.27,US Dollar,3231020.27,US Dollar,
01-09-2022 0.29,8.02E+65,8.02E+65,64631.85,US Dollar,64631.85,US Dollar,
01-09-2022 0.19,801885EB0,801885EB0,278.34,US Dollar,278.34,US Dollar,
01-09-2022 0.07,8018A5860,8018A5860,25.23,US Dollar,25.23,US Dollar,
01-09-2022 0.24,8018A5A80,8018A5A80,48609.72,US Dollar,48609.72,US Dollar,
01-09-2022 0.13,8018A5CF0,8018A5CF0,1445.91,US Dollar,1445.91,US Dollar,
01-09-2022 0.04,801DC6C70,8018A61B0,62787,US Dollar,62787,US Dollar,
01-09-2022 0.23,8019FB070,8019FB070,1511,US Dollar,1511,US Dollar,
01-09-2022 0.03,801DC7400,801DC7400,1266.68,US Dollar,1266.68,US Dollar,
01-09-2022 0.24,8.02E+65,8.02E+65,3.2,US Dollar,3.2,US Dollar,
01-09-2022 0.20,801886770,812B06600,32.2,US Dollar,32.2,US Dollar,
01-09-2022 0.10,8018867C0,80D454CA0,2.22,US Dollar,2.22,US Dollar,
01-09-2022 0.10,8018A5CF0,8018A5CF0,18.28,US Dollar,18.28,US Dollar,
01-09-2022 0.03,8018A6110,8018A6110,6.05,US Dollar,6.05,US Dollar,
01-09-2022 0.04,8018A61B0,812B06600,39.48,US Dollar,39.48,US Dollar,
01-09-2022 0.11,8019FB070,8019FB070,3.89,US Dollar,3.89,US Dollar,
01-09-2022 0.04,801D9FF00,801D9FF00,19.24,US Dollar,19.24,US Dollar,
01-01-2024 0.04,8018A61B0,812B06600,100,US Dollar,100,US Dollar,
