Bank,Account,Receiving Currency,Payment Currency
10344,805B217F0,US Dollar,
10344,805CDB990,,US Dollar
10344,806021880,US Dollar,
10344,806053EC0,US Dollar,US Dollar
10344,80607C890,,US Dollar
10344,806094AF0,US Dollar,
10344,8064E5AF0,US Dollar,
10344,8065F7430,US Dollar,US Dollar
10344,80662FEC0,,US Dollar
10344,8066A7D50,,US Dollar
10344,8067CDB90,US Dollar,
10344,806919CF0,,US Dollar
10344,806A48160,,US Dollar
10344,806AE8B30,US Dollar,
10344,806C10980,US Dollar,
10344,806CE9DE0,,US Dollar
10344,806D34A50,,US Dollar
10344,80759ABE0,,US Dollar
10344,80759F930,"Euro,US Dollar","US Dollar,Euro"
10344,807C1FA40,,US Dollar
10344,807E6A2C0,US Dollar,
10344,8086F0600,,US Dollar
10344,80894A8D0,US Dollar,
10344,808BA42F0,US Dollar,
10344,808D193A0,US Dollar,
10344,808F2B0C0,Shekel,"US Dollar,Shekel"
10344,808F941D0,,US Dollar
10344,8091B0720,US Dollar,
10344,80921EBB0,,US Dollar
10344,80936D460,US Dollar,
10344,80938EE10,US Dollar,
10344,80971DA90,US Dollar,US Dollar
10344,809BCF8D0,,US Dollar
10344,809F255D0,US Dollar,
10344,809FC0F50,US Dollar,US Dollar
10344,80A3A4770,,US Dollar
10344,80A3B6F40,US Dollar,
10344,80A3C3BA0,Saudi Riyal,"US Dollar,Saudi Riyal"
10344,80A5928F0,,US Dollar
10344,80B3F8BB0,Brazil Real,"US Dollar,Brazil Real"
10344,80B559ED0,US Dollar,
10344,80B6A0300,US Dollar,
10344,80BACDC20,,US Dollar
10344,80BDF5360,,US Dollar
10344,80C031710,US Dollar,
10344,80C4EE4E0,US Dollar,
10344,80C653080,US Dollar,
10344,80C90B1A0,,US Dollar
10344,80C92CF60,,US Dollar
10344,80CF21E90,,US Dollar
10344,80D1A5790,,US Dollar
10344,80D1D8740,US Dollar,
10344,80D504380,,US Dollar
10344,80DA4EBD0,,US Dollar
10344,80DD6CFD0,,US Dollar
10344,80DE92B10,,US Dollar
10344,80E029300,US Dollar,
10344,80E1EB200,US Dollar,
10344,80E5302E0,US Dollar,
10344,80E74EDC0,,US Dollar
10344,80E75D8D0,US Dollar,
10344,80EC58E10,US Dollar,
10344,80EC7A560,US Dollar,
10344,80EEB44C0,US Dollar,
10344,80F2CB4A0,US Dollar,
10344,80F8D47A0,US Dollar,
10344,80F913110,US Dollar,
10344,80FE23370,,US Dollar
10344,81043BD40,US Dollar,
10344,810452780,US Dollar,
10344,810584010,US Dollar,
10344,8106BF320,US Dollar,
10344,8106D9590,,US Dollar
10344,8107FF810,US Dollar,
10344,810C63A70,US Dollar,
10344,810EE44F0,US Dollar,
10344,8111D0710,,US Dollar
10344,811E141B0,US Dollar,
10344,81203A840,US Dollar,
10344,812453930,US Dollar,
10344,81274FA80,US Dollar,
10344,8130641C0,US Dollar,
10344,81324AC40,,US Dollar
10344,81337C7B0,,US Dollar
10344,813909420,US Dollar,
10404,803E7F230,,Euro
10404,804389170,Euro,
10404,80438FC20,Euro,
10404,8044933D0,Euro,Euro
10404,804900160,,Euro
10404,805284EF0,Euro,Euro
10404,80531F520,Euro,Euro
10404,805AB91D0,,Euro
10404,805ABBB10,Euro,
10404,80679BCD0,Euro,
10404,8067FB0C0,,Euro
10404,80680FF50,Euro,
10404,806826760,Euro,
10404,8068C4530,Euro,
10404,8069B2260,Euro,Euro
10404,806ACD410,Euro,
10404,806ACD600,Euro,
10404,806C13EC0,,Euro
10404,806CA2630,,Euro
10404,80735A4B0,,Euro
10404,80782CC00,Euro,
10404,80782FC20,Euro,
10404,80789FE70,Euro,
10404,807A5CD50,Euro,
10404,807B65200,,Euro
10404,80806A4D0,,Euro
10404,8080B3AF0,,Euro
10404,808320580,,Euro
10404,80859C380,,Euro
10404,80889F0A0,Euro,Euro
10404,8088DDDF0,Euro,
10404,8089396D0,,Euro
10404,808A424C0,Euro,
10404,808A55450,,Euro
10404,808DF9630,Euro,
10404,808EAA370,Euro,Euro
10404,808FF9F60,Euro,Euro
10404,8093BF6E0,Euro,
10404,8094C5630,Euro,Euro
10404,8098DFBE0,Euro,
10404,809A1DD80,,Euro
10404,809BD77C0,Euro,Euro
10404,80A390D50,,Euro
10404,80A787460,,Euro
10404,80A7936D0,Euro,
10404,80AF2DDF0,Euro,
10404,80B34F0D0,,Euro
10404,80B408030,Euro,
10404,80B40A390,,Euro
10404,80B511BF0,,Euro
10404,80B565570,Euro,
10404,80B5A0830,,Euro
10404,80B5FDE90,Euro,
10404,80BA63240,Euro,Euro
10404,80BA64AC0,Euro,Euro
10404,80BAA0840,Euro,
10404,80BB8A450,Euro,
10404,80BBEB5C0,Euro,
10404,80BF46D80,Euro,
10404,80C2A5FB0,Euro,
10404,80C88C210,Euro,
10404,80D3EA400,Euro,
10404,80D4281C0,,Euro
10404,80DE0DFF0,Euro,
10404,80E0903A0,,Euro
10404,80E633720,Euro,Euro
10404,80E78E060,Euro,
10404,80E7B0860,Euro,
10404,80F881B10,,Euro
10404,80FF12360,Euro,
10404,80FF346B0,,Euro
10404,81016D270,Euro,
10404,8102E6250,Euro,
10404,81031F6C0,Euro,
10404,81042F560,Euro,
10404,810D81D30,Euro,
10404,8110204E0,Euro,
10404,8119791C0,Euro,
10404,811AF3EB0,,Euro
10404,81250BAA0,Euro,
10404,812645EE0,,Euro
10404,812756A20,Euro,
10404,812BB0B20,Euro,
10404,812BEA790,Euro,
10404,812C65930,,Euro
10404,8131B72F0,Euro,
10404,81349FFB0,Euro,
10404,8136B34C0,Euro,
10404,813CF1CB0,Euro,
10404,814201720,Euro,
10441,8020634B0,,Euro
10441,803CF4370,Euro,
10441,803F0ACB0,Euro,
10441,8041A9AD0,,Euro
10441,804258E00,Euro,
10441,804390030,Euro,Euro
10441,8044318B0,Euro,
10441,804431900,Euro,Euro
10441,8046D5A70,Euro,
10441,804C4B450,,Euro
10441,804E6D0D0,Euro,
10441,805073060,,Euro
10441,805143590,Euro,Euro
10441,8052C0980,Euro,
10441,805586350,,Euro
10441,80558B350,Euro,
10441,80558C590,Euro,Euro
10441,80559C160,US Dollar,"Euro,US Dollar"
10441,805718B50,Euro,
10441,80595AA40,,Euro
10441,805AB7210,Euro,
10441,805ACDC60,,Euro
10441,805E0A570,Euro,Euro
10441,80626F620,Euro,Euro
10441,806744D30,Euro,
10441,8068E6810,Euro,
10441,806921070,Euro,
10441,8069E55B0,Euro,
10441,806AD7D90,Euro,
10441,806C69900,Euro,Euro
10441,80709DDA0,Euro,Euro
10441,8071FDAB0,Euro,Euro
10441,8077A9120,,Euro
10441,8077D2B90,Euro,
10441,8078552F0,,Euro
10441,80797F6F0,Euro,
10441,8079A8C10,Euro,
10441,8079BE060,,Euro
10441,807BDA130,Euro,
10441,807BE5BC0,,Euro
10441,807F23650,Euro,
10441,807FD1170,US Dollar,"Euro,US Dollar"
10441,808977CA0,Euro,
10441,808A5E2D0,Euro,
10441,808BA5640,Euro,Euro
10441,808E1F240,Euro,
10441,809377F50,,Euro
10441,8093B4460,Euro,
10441,809413E60,Euro,
10441,809477DF0,Euro,Euro
10441,80A3AAA40,,Euro
10441,80AB8E2D0,Euro,
10441,80B320680,,Euro
10441,80B5AC090,Euro,
10441,80B5C5F70,Euro,Euro
10441,80B7A28F0,Euro,Euro
10441,80B8D22D0,,Euro
10441,80B964800,Euro,
10441,80BA7F8F0,,Euro
10441,80BD8DB90,Euro,
10441,80CEC31A0,Euro,
10441,80D2AA8A0,Euro,
10441,80D2DACC0,Euro,
10441,80D3D20A0,,Euro
10441,80D521ED0,Euro,
10441,80DD522A0,Euro,
10441,80E222A60,Euro,
10441,80E7ACBA0,Euro,Euro
10441,80EBE2F00,Euro,
10441,80ED460A0,Euro,
10441,80F2D1030,Euro,
10441,80FFE5450,Euro,
10441,8102D44B0,Euro,
10441,8102D4680,Euro,
10441,8102F2780,,Euro
10441,8115F8210,Euro,
10441,811ABCFB0,,Euro
10441,812517C60,Euro,
10441,812C31730,,Euro
10441,813111810,Euro,
10441,8131EFBD0,Euro,
10441,8133B3760,Euro,
10441,813AFFFB0,Euro,
10441,814497F20,Euro,
10581,803B48FB0,Yen,
10581,803B4BBA0,Yen,
10581,803B4BCB0,Yen,Yen
10581,803DFC2B0,,Yen
10581,803E0ED00,,Yen
10581,803E0F9B0,Yen,
10581,803E526D0,,Yen
10581,803E637C0,,Yen
10581,803E69310,Yen,
10581,803ECDCB0,,Yen
10581,803EFA650,,Yen
10581,803EFC6F0,,Yen
10581,803F17AD0,Yen,Yen
10581,803F1DBE0,Yen,
10581,803F45A30,Yen,
10581,803F49C90,,Yen
10581,803F57070,Yen,
10581,803F58E80,,Yen
10581,803F98840,Yen,Yen
10581,803FBF310,Yen,
10581,803FC0790,Yen,Yen
10581,803FEA470,US Dollar,"Yen,US Dollar"
10581,80402D1F0,Yen,
10581,804056B70,,Yen
10581,8040696B0,Yen,Yen
10581,804069F00,Yen,
10581,80408EC50,,Yen
10581,8040A23C0,,Yen
10581,8040BD5C0,,Yen
10581,8040C10D0,,Yen
10581,8040C5EE0,,Yen
10581,8040DD6C0,Yen,
10581,8040DE970,,Yen
10581,8041038B0,,Yen
10581,80410CAD0,,Yen
10581,80411D8E0,Yen,
10581,804125D50,,Yen
10581,804129160,Yen,Yen
10581,80412FE10,,Yen
10581,804139F40,Yen,Yen
10581,80413C1B0,Yen,
10581,8041500E0,Yen,Yen
10581,804177720,Yen,
10581,80417A910,,Yen
10581,80417C4D0,Yen,
10581,8042F0210,Yen,
10581,804322A70,Yen,Yen
10581,8043285D0,Yen,
10581,80436DEF0,,Yen
10581,8043758F0,Yen,
10581,80437A5E0,Yen,Yen
10581,8043E0150,,Yen
10581,8043FC340,,Yen
10581,8044076E0,Yen,
10581,80441A2D0,Yen,
10581,804443A50,Yen,
10581,80444B4B0,Yen,
10581,80447E1B0,,Yen
10581,8044852E0,Yen,
10581,804495150,Yen,
10581,804495A30,,Yen
10581,8044A3BC0,,Yen
10581,8044B2790,,Yen
10581,8044E2C30,Yen,
10581,8044EEE10,Yen,
10581,8044EF170,Yen,
10581,8044FC820,Yen,
10581,80450AFF0,,Yen
10581,80453B080,Yen,
10581,804540C30,Yen,
10581,80456C660,Yen,
10581,8045A4C40,Yen,
10581,8045F68E0,Yen,
10581,804623570,,Yen
10581,80462E030,Yen,Yen
10581,804630ED0,,Yen
10581,804679080,Yen,
10581,80468D170,,Yen
10581,804696970,Yen,
10581,8046A1EE0,Yen,
10581,8046C2D60,Yen,
10581,8046E3480,Yen,
10581,804772E90,Yen,
10581,8047734F0,,Yen
10581,8047754E0,Yen,
10581,804780750,Yen,
10581,805372450,Yen,
10581,809AB51B0,Yen,
10581,809AC7830,,Yen
10581,809AC8AE0,Yen,
10581,809AE5CA0,Yen,
10581,80B19C830,Yen,
10581,80C3DB6C0,Yen,
10581,80C4109D0,Yen,
10581,80C410B60,,Yen
10581,80C420B60,Yen,
10581,80C44B7F0,,Yen
10581,80C453430,,Yen
10581,80C491E80,Yen,
10581,80C4BF300,Yen,
10581,80E20DA50,Yen,
10581,80E7F7020,Yen,
10581,80E935630,Yen,
10581,80E9367B0,,Yen
10581,8107E9BA0,Yen,
10581,8145C17D0,Yen,
10605,8039FAF80,Yen,
10605,803E111C0,,Yen
10605,803E21880,Yen,
10605,803E519E0,"Yen,Yuan","Yen,Yuan"
10605,803E593C0,Yen,
10605,803E5B860,,Yen
10605,803E5B8B0,Yen,Yen
10605,803EB5780,,Yen
10605,803EB7720,Yen,Yen
10605,803ECAAB0,,Yen
10605,803ED5DF0,Yen,Yen
10605,803ED8B70,Yen,Yen
10605,803EEF970,Yen,
10605,803EF8960,Yen,
10605,803EFF0C0,,Yen
10605,803F18E80,Yen,
10605,803F23CA0,Yen,Yen
10605,803F28880,Yen,Yen
10605,803F2AED0,,Yen
10605,803F3EA00,Yen,
10605,803F492D0,Yen,
10605,803F49AC0,Yen,
10605,803F66AD0,Yen,
10605,803F70C30,,Yen
10605,803FB17E0,,Yen
10605,803FBDC40,,Yen
10605,803FBEE10,Yen,
10605,803FE5810,Yen,
10605,8040408B0,Yen,
10605,80405E8E0,,Yen
10605,804062AD0,Yen,
10605,804086490,Yen,Yen
10605,804088B00,Yen,Yen
10605,80408C350,Yen,
10605,80408D630,Yen,
10605,80408EFE0,Yen,
10605,8040C5220,Yen,
10605,8040D71A0,,Yen
10605,8040E1D80,"Yen,US Dollar","Yen,US Dollar"
10605,8040E49B0,Yen,
10605,8041163E0,,Yen
10605,804116D60,Yen,
10605,804126CE0,Yen,
10605,80412E390,Yen,
10605,804139940,Yen,Yen
10605,80415A2F0,,Yen
10605,804165EC0,Yen,Yen
10605,804180B60,Yen,
10605,804232C90,Yen,
10605,8042F9D50,Yen,
10605,8042FF110,Yen,
10605,804307460,Yen,
10605,8043087C0,Yen,
10605,80430EB40,Yen,
10605,804326840,Yen,
10605,804362480,Yen,
10605,8043D5260,Yen,
10605,8043FBEA0,,Yen
10605,804423F50,Yen,
10605,804424760,Yen,Yen
10605,80442E050,Yen,
10605,804433930,Yen,Yen
10605,80447B4E0,Yen,Yen
10605,804483AE0,Yen,
10605,8044A1540,Yen,
10605,8044A59C0,Yen,
10605,8044B8B40,Yen,
10605,8044BB5B0,,Yen
10605,8044E3060,Yen,
10605,8044ED5C0,Yen,
10605,8044F9ED0,Yen,
10605,804553FF0,,Yen
10605,804562630,Yen,
10605,804567790,Yen,
10605,804567B80,Yen,
10605,80456C8F0,Yen,Yen
10605,8045889A0,Yen,
10605,8045F4460,Yen,
10605,8045F6930,,Yen
10605,8045F9B70,,Yen
10605,80460BE20,Yen,
10605,804632D10,Yen,
10605,804644220,Yen,
10605,804646EB0,Yen,
10605,80464E8F0,Yen,
10605,804679E20,,Yen
10605,8046AFDF0,Yen,
10605,8046B5430,Yen,
10605,8046CCFF0,,Yen
10605,8046CDF40,,Yen
10605,8046DDC10,Yen,
10605,8046DF780,Yen,
10605,8046E1640,,Yen
10605,8046F9AC0,Yen,
10605,804721C50,Yen,
10605,804728610,Yen,
10605,804730640,Yen,
10605,8047481B0,,Yen
10605,804773080,Yen,Yen
10605,80659D720,Yen,
10605,807E3E4C0,Yen,Yen
10605,809AD8BE0,,Yen
10605,809AD9300,Yen,
10605,809AE2070,Yen,
10605,80B1A5F10,Yen,
10605,80C48A5F0,Yen,
10605,80C491730,Yen,
10605,80C4AFD60,,Yen
10605,80C4B4B00,Yen,
10605,80CE4DF30,,Yen
10605,80E7FA130,Yen,
10605,80E907780,Yen,
10605,80E91AD30,Yen,
10605,8145BEBA0,Yen,
10614,804199F60,US Dollar,US Dollar
10614,8042B9010,,US Dollar
10614,8043F1650,US Dollar,
10614,804457440,US Dollar,
10614,804576A70,US Dollar,
10614,80474CD40,US Dollar,
10614,80484EC20,US Dollar,
10614,804872F40,US Dollar,
10614,804874460,,US Dollar
10614,804881050,,US Dollar
10614,80497FC70,US Dollar,US Dollar
10614,804B5FBB0,US Dollar,
10614,804E21C60,,US Dollar
10614,80511F790,US Dollar,
10614,805122B50,US Dollar,US Dollar
10614,8052228E0,,US Dollar
10614,8052DCD50,US Dollar,
10614,805576440,,US Dollar
10614,8055DC400,US Dollar,US Dollar
10614,80571E030,,US Dollar
10614,80588C5E0,US Dollar,
10614,805A56C30,US Dollar,
10614,805BC9DD0,,US Dollar
10614,805DD0EB0,US Dollar,
10614,805E16020,,US Dollar
10614,805EE46C0,US Dollar,
10614,805FF0B00,,US Dollar
10614,80601BDA0,US Dollar,
10614,806051A90,,US Dollar
10614,8064493F0,US Dollar,US Dollar
10614,806452EF0,US Dollar,
10614,8064753B0,US Dollar,
10614,80662F180,US Dollar,US Dollar
10614,8066383C0,,US Dollar
10614,8067A4320,,US Dollar
10614,806835C90,US Dollar,
10614,806865B00,,US Dollar
10614,806A3E240,"US Dollar,Brazil Real","US Dollar,Brazil Real"
10614,806A3EF50,US Dollar,
10614,806CA08E0,US Dollar,
10614,806CFDF30,,US Dollar
10614,806DF4580,US Dollar,
10614,8070BC580,US Dollar,
10614,807109DC0,US Dollar,
10614,8074253C0,,US Dollar
10614,8074B52C0,US Dollar,
10614,807801F50,,US Dollar
10614,807AF3DA0,US Dollar,
10614,807D9A750,,US Dollar
10614,807DAC700,US Dollar,
10614,807EAA480,US Dollar,
10614,8088ADD50,US Dollar,
10614,808D14670,US Dollar,
10614,808F88C00,,US Dollar
10614,8090539C0,,US Dollar
10614,809564CF0,,US Dollar
10614,8096514D0,US Dollar,
10614,809912CF0,,US Dollar
10614,809A254C0,US Dollar,US Dollar
10614,809A2A7B0,,US Dollar
10614,809B68D10,US Dollar,
10614,809BCC330,US Dollar,
10614,809BDACF0,US Dollar,
10614,80A02E200,,US Dollar
10614,80A182460,US Dollar,
10614,80A713540,,US Dollar
10614,80AEB6A10,US Dollar,US Dollar
10614,80B24B540,US Dollar,
10614,80B4C28F0,,US Dollar
10614,80B8F3600,US Dollar,
10614,80BD89060,US Dollar,
10614,80BFA6D30,US Dollar,
10614,80C5DC5C0,US Dollar,US Dollar
10614,80C9C73E0,,US Dollar
10614,80CF5D860,US Dollar,
10614,80D0EBD20,US Dollar,
10614,80D0ED0A0,US Dollar,
10614,80D19ED10,US Dollar,
10614,80D1FA240,US Dollar,
10614,80D272F10,US Dollar,
10614,80D3438D0,US Dollar,
10614,80D45FFE0,,US Dollar
10614,80D508580,,US Dollar
10614,80DA684F0,,US Dollar
10614,80DAD08F0,US Dollar,US Dollar
10614,80DB72860,US Dollar,
10614,80DDDCF30,US Dollar,
10614,80DE98E90,,US Dollar
10614,80DE9DA70,,US Dollar
10614,80DEDE440,US Dollar,
10614,80DF4ED80,US Dollar,
10614,80DFE7DF0,US Dollar,
10614,80E032420,,US Dollar
10614,80E0D8F90,US Dollar,
10614,80E3B2F00,US Dollar,
10614,80E4A8000,US Dollar,
10614,80E6F5F60,US Dollar,
10614,80F62D840,,US Dollar
10614,80FF110E0,US Dollar,
10614,80FF27330,US Dollar,
10614,8106674E0,US Dollar,
10614,810D999C0,US Dollar,
10614,811233F70,US Dollar,
10614,811745320,US Dollar,
10614,811BE1270,,US Dollar
10614,811CE4C90,US Dollar,
10614,811CEDE40,,US Dollar
10614,8121C5F30,US Dollar,
10614,812468680,US Dollar,
10614,8126C7020,,US Dollar
10614,812B9FC50,US Dollar,
10614,813502FB0,Brazil Real,"US Dollar,Brazil Real"
10614,8135E9DB0,US Dollar,US Dollar
10614,81367EEA0,US Dollar,
10614,813E1F2A0,,US Dollar
10614,8144546E0,US Dollar,
10614,81482AC80,,US Dollar
10642,802074B20,US Dollar,US Dollar
10642,803FC4B60,US Dollar,US Dollar
10642,803FF3B40,,US Dollar
10642,804201180,,US Dollar
10642,8042263A0,,US Dollar
10642,804285E90,,US Dollar
10642,8043A93E0,US Dollar,
10642,8043FEA00,US Dollar,
10642,80458C350,,US Dollar
10642,80483B3A0,US Dollar,
10642,804867A50,US Dollar,
10642,8049404A0,US Dollar,US Dollar
10642,804950D80,,US Dollar
10642,804D109D0,US Dollar,US Dollar
10642,804E388E0,,US Dollar
10642,804EE7BD0,,US Dollar
10642,8051BFAE0,US Dollar,
10642,8052B6FF0,US Dollar,US Dollar
10642,805478C90,,US Dollar
10642,80553EB70,,US Dollar
10642,805570C20,US Dollar,
10642,8056A2FF0,,US Dollar
10642,8059CFF20,US Dollar,
10642,805B6EBB0,,US Dollar
10642,805B75EA0,,US Dollar
10642,805DF0860,,US Dollar
10642,805DF0861,,Bitcoin
10642,805E06190,,US Dollar
10642,806046180,US Dollar,
10642,8061E4E40,US Dollar,US Dollar
10642,8062687E0,US Dollar,US Dollar
10642,80632E440,US Dollar,
10642,806445010,US Dollar,US Dollar
10642,8065EF7E0,,US Dollar
10642,8068486A0,US Dollar,
10642,806853E60,US Dollar,US Dollar
10642,8069F17B0,US Dollar,US Dollar
10642,806A37DA0,US Dollar,
10642,806A475A0,,US Dollar
10642,806AC43A0,,US Dollar
10642,806B909A0,,US Dollar
10642,806F83740,US Dollar,
10642,806FE1E40,US Dollar,
10642,8070B8650,US Dollar,
10642,8070C9370,US Dollar,
10642,8072BD870,US Dollar,
10642,8074ADBF0,US Dollar,
10642,80755D210,,US Dollar
10642,8075B6040,US Dollar,
10642,8075D9E50,,US Dollar
10642,807660960,US Dollar,
10642,807D357A0,US Dollar,US Dollar
10642,807F43520,,US Dollar
10642,807F56C60,,US Dollar
10642,808098F40,US Dollar,
10642,808161D70,,US Dollar
10642,808203E60,,US Dollar
10642,8082477F0,US Dollar,
10642,8084F8CF0,,US Dollar
10642,808561110,,US Dollar
10642,8085938C0,,US Dollar
10642,80863AE30,,US Dollar
10642,8086FFDA0,,US Dollar
10642,808FC52C0,US Dollar,
10642,808FDE330,US Dollar,
10642,809A68890,,US Dollar
10642,809B877B0,,US Dollar
10642,809C3CFB0,US Dollar,US Dollar
10642,809FFBF90,,US Dollar
10642,80A02C8D0,,US Dollar
10642,80A2DE7A0,US Dollar,
10642,80A321550,US Dollar,
10642,80A7345B0,US Dollar,
10642,80A753E50,US Dollar,
10642,80A8CB780,US Dollar,
10642,80AE35E50,,US Dollar
10642,80BD6EE20,US Dollar,
10642,80C32D170,,US Dollar
10642,80C358E20,US Dollar,
10642,80C553880,US Dollar,
10642,80C9C6940,US Dollar,
10642,80CE9DF90,UK Pound,"US Dollar,UK Pound"
10642,80CFA2880,US Dollar,
10642,80D0B59C0,US Dollar,
10642,80D26AA40,,US Dollar
10642,80D28ADF0,,US Dollar
10642,80D29BE00,US Dollar,
10642,80D39CD20,US Dollar,
10642,80D5145B0,,US Dollar
10642,80D9339C0,,US Dollar
10642,80D937B40,,US Dollar
10642,80DA606C0,US Dollar,
10642,80E113570,,US Dollar
10642,80E3E5AF0,,US Dollar
10642,80E52D6D0,US Dollar,
10642,80F2B1610,US Dollar,
10642,80F2D4620,,US Dollar
10642,80F2FD0D0,US Dollar,
10642,81002C260,,US Dollar
10642,81144F840,,US Dollar
